#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"12046736490";"14/03/2022 / 11:10:01";"GOLL4";"C";"1500";"0,00";"executada";"saída";"1500";"13,44";"-0,14";"-1,05";"-210,00"
"12046671396";"14/03/2022 / 11:00:01";"GOLL4";"V";"1500";"0,00";"executada";"entrada";"1500";"13,30";"-";"-";"-"
"12046603022";"14/03/2022 / 10:50:01";"GOLL4";"C";"1500";"0,00";"executada";"saída";"1500";"13,59";"-0,26";"-1,93";"-385,00"
"12046444318";"14/03/2022 / 10:30:01";"GOLL4";"V";"1500";"0,00";"executada";"entrada";"1500";"13,33";"-";"-";"-"
"12033123652";"11/03/2022 / 12:20:48";"GOLL4";"C";"1400";"0,00";"executada";"saída";"1400";"13,53";"0,45";"3,22";"630,00"
"12032904287";"11/03/2022 / 11:40:00";"GOLL4";"V";"1400";"0,00";"executada";"entrada";"1400";"13,98";"-";"-";"-"
"12032832839";"11/03/2022 / 11:20:01";"GOLL4";"C";"1400";"0,00";"executada";"saída";"1400";"14,38";"-0,15";"-1,03";"-206,00"
"12032674491";"11/03/2022 / 10:40:01";"GOLL4";"V";"1400";"0,00";"executada";"entrada";"1400";"14,23";"-";"-";"-"
"12027290082";"10/03/2022 / 13:20:00";"GOLL4";"V";"1400";"0,00";"executada";"saída";"1400";"13,94";"-0,25";"-1,76";"-349,00"
"12027121312";"10/03/2022 / 12:50:01";"GOLL4";"C";"1400";"0,00";"executada";"entrada";"1400";"14,19";"-";"-";"-"
"12026933085";"10/03/2022 / 12:30:15";"GOLL4";"V";"1400";"0,00";"executada";"saída";"1400";"13,97";"-0,32";"-2,24";"-448,00"
"12026820500";"10/03/2022 / 12:20:00";"GOLL4";"C";"1400";"0,00";"executada";"entrada";"1400";"14,29";"-";"-";"-"
"12023022616";"09/03/2022 / 16:50:00";"GOLL4";"V";"1300";"0,00";"executada";"saída";"1300";"14,56";"0,13";"0,92";"173,00"
"12021096080";"09/03/2022 / 11:50:01";"GOLL4";"C";"1300";"0,00";"executada";"entrada";"1300";"14,43";"-";"-";"-"
