#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"8756753017";"27/03/2020 / 12:09:32";"MGLU3";"V";"500";"40,22";"executada";"saída";"500";"40,37";"1,33";"3,41";"665,00"
"8756753014";"27/03/2020 / 11:45:00";"MGLU3";"C";"500";"39,16";"executada";"entrada";"500";"39,04";"-";"-";"-"
"8756753011";"26/03/2020 / 13:00:00";"MGLU3";"V";"400";"43,04";"executada";"saída";"400";"43,16";"0,13";"0,30";"52,00"
"8756753008";"26/03/2020 / 10:30:00";"MGLU3";"C";"400";"43,12";"executada";"entrada";"400";"43,03";"-";"-";"-"
"8756753002";"23/03/2020 / 11:17:07";"MGLU3";"V";"600";"30,45";"executada";"saída";"600";"30,53";"-0,54";"-1,74";"-324,00"
"8756752999";"23/03/2020 / 11:15:00";"MGLU3";"C";"600";"31,14";"executada";"entrada";"600";"31,07";"-";"-";"-"
"8756752996";"19/03/2020 / 12:07:37";"MGLU3";"V";"700";"27,68";"executada";"saída";"700";"27,75";"0,84";"3,12";"588,00"
"8756752993";"19/03/2020 / 11:45:00";"MGLU3";"C";"700";"27,04";"executada";"entrada";"700";"26,91";"-";"-";"-"
"8756752990";"19/03/2020 / 10:55:58";"MGLU3";"C";"700";"25,87";"executada";"saída";"700";"25,78";"-0,40";"-1,58";"-280,00"
"8756752987";"19/03/2020 / 10:45:00";"MGLU3";"V";"700";"25,22";"executada";"entrada";"700";"25,38";"-";"-";"-"
"8756752984";"17/03/2020 / 11:05:05";"MGLU3";"C";"600";"33,84";"executada";"saída";"600";"33,65";"-0,46";"-1,39";"-276,00"
"8756752978";"17/03/2020 / 11:00:00";"MGLU3";"V";"600";"33,15";"executada";"entrada";"600";"33,19";"-";"-";"-"
"8756752975";"16/03/2020 / 12:59:57";"MGLU3";"V";"500";"38,46";"executada";"saída";"500";"38,53";"1,23";"3,30";"615,00"
"8756752972";"16/03/2020 / 12:45:00";"MGLU3";"C";"500";"37,48";"executada";"entrada";"500";"37,30";"-";"-";"-"
"8756752969";"13/03/2020 / 13:44:32";"MGLU3";"V";"500";"39,57";"executada";"saída";"500";"39,72";"1,32";"3,44";"660,00"
"8756752966";"13/03/2020 / 13:30:00";"MGLU3";"C";"500";"38,50";"executada";"entrada";"500";"38,40";"-";"-";"-"
"8756752963";"13/03/2020 / 12:01:54";"MGLU3";"C";"500";"35,22";"executada";"saída";"500";"35,17";"-0,58";"-1,68";"-290,00"
"8756752960";"13/03/2020 / 12:00:00";"MGLU3";"V";"500";"34,49";"executada";"entrada";"500";"34,59";"-";"-";"-"
"8756752954";"10/03/2020 / 14:20:43";"MGLU3";"C";"400";"44,05";"executada";"saída";"400";"43,97";"-0,68";"-1,57";"-272,00"
"8756752951";"10/03/2020 / 12:15:00";"MGLU3";"V";"400";"43,18";"executada";"entrada";"400";"43,29";"-";"-";"-"
"8756752948";"09/03/2020 / 14:59:45";"MGLU3";"V";"400";"40,72";"executada";"saída";"400";"40,80";"-0,66";"-1,59";"-264,00"
"8756752945";"09/03/2020 / 12:15:00";"MGLU3";"C";"400";"41,56";"executada";"entrada";"400";"41,46";"-";"-";"-"
"8756752942";"06/03/2020 / 12:49:52";"MGLU3";"V";"400";"45,42";"executada";"saída";"400";"45,56";"1,52";"3,45";"608,00"
"8756752936";"06/03/2020 / 12:30:00";"MGLU3";"C";"400";"44,16";"executada";"entrada";"400";"44,04";"-";"-";"-"
"8756752930";"04/03/2020 / 12:15:00";"MGLU3";"C";"300";"53,76";"executada";"saída";"300";"53,67";"-0,56";"-1,05";"-168,00"
"8756752927";"04/03/2020 / 12:00:00";"MGLU3";"V";"300";"53,00";"executada";"entrada";"300";"53,11";"-";"-";"-"
"8756752924";"03/03/2020 / 15:09:40";"MGLU3";"V";"300";"53,05";"executada";"saída";"300";"53,18";"-0,80";"-1,48";"-240,00"
"8756752921";"03/03/2020 / 12:30:00";"MGLU3";"C";"300";"54,06";"executada";"entrada";"300";"53,98";"-";"-";"-"
"8756752912";"03/03/2020 / 12:03:51";"MGLU3";"C";"300";"53,82";"executada";"saída";"300";"53,78";"-0,90";"-1,70";"-270,00"
"8756752906";"03/03/2020 / 11:45:00";"MGLU3";"V";"300";"52,75";"executada";"entrada";"300";"52,88";"-";"-";"-"
"8756752903";"21/02/2020 / 15:30:00";"MGLU3";"V";"300";"56,58";"executada";"saída";"300";"56,68";"0,53";"0,94";"159,00"
"8756752900";"21/02/2020 / 11:45:00";"MGLU3";"C";"300";"56,25";"executada";"entrada";"300";"56,15";"-";"-";"-"
"8756752897";"21/02/2020 / 10:45:00";"MGLU3";"C";"300";"56,27";"executada";"saída";"300";"56,18";"-0,58";"-1,04";"-174,00"
"8756752891";"21/02/2020 / 10:30:00";"MGLU3";"V";"300";"55,50";"executada";"entrada";"300";"55,60";"-";"-";"-"
"8756752888";"20/02/2020 / 12:00:00";"MGLU3";"C";"300";"57,62";"executada";"saída";"300";"57,52";"-0,15";"-0,26";"-45,00"
"8756752882";"20/02/2020 / 10:30:00";"MGLU3";"V";"300";"57,28";"executada";"entrada";"300";"57,37";"-";"-";"-"
"8756752876";"19/02/2020 / 12:00:00";"MGLU3";"C";"300";"58,55";"executada";"saída";"300";"58,43";"-0,07";"-0,12";"-21,00"
"8756752873";"19/02/2020 / 11:45:00";"MGLU3";"V";"300";"58,26";"executada";"entrada";"300";"58,36";"-";"-";"-"
"8756752870";"18/02/2020 / 13:30:00";"MGLU3";"V";"300";"58,42";"executada";"saída";"300";"58,52";"-0,22";"-0,37";"-66,00"
"8756752867";"18/02/2020 / 12:00:00";"MGLU3";"C";"300";"58,84";"executada";"entrada";"300";"58,74";"-";"-";"-"
"8756752861";"14/02/2020 / 16:50:00";"MGLU3";"C";"300";"56,51";"executada";"saída";"300";"56,43";"0,74";"1,29";"222,00"
"8756752858";"14/02/2020 / 11:45:00";"MGLU3";"V";"300";"57,07";"executada";"entrada";"300";"57,17";"-";"-";"-"
"8756752852";"13/02/2020 / 16:50:00";"MGLU3";"V";"300";"56,58";"executada";"saída";"300";"56,67";"0,52";"0,93";"156,00"
"8756752849";"13/02/2020 / 11:00:00";"MGLU3";"C";"300";"56,24";"executada";"entrada";"300";"56,15";"-";"-";"-"
"8756752846";"12/02/2020 / 15:18:14";"MGLU3";"V";"300";"56,30";"executada";"saída";"300";"56,42";"1,79";"3,28";"537,00"
"8756752843";"12/02/2020 / 10:30:00";"MGLU3";"C";"300";"54,72";"executada";"entrada";"300";"54,63";"-";"-";"-"
"8756752837";"10/02/2020 / 14:07:00";"MGLU3";"C";"300";"52,36";"executada";"saída";"300";"52,30";"1,73";"3,20";"519,00"
"8756752834";"10/02/2020 / 11:30:00";"MGLU3";"V";"300";"53,93";"executada";"entrada";"300";"54,03";"-";"-";"-"
"8756752831";"07/02/2020 / 13:00:00";"MGLU3";"V";"300";"54,25";"executada";"saída";"300";"54,41";"-0,25";"-0,46";"-75,00"
"8756752822";"07/02/2020 / 12:45:00";"MGLU3";"C";"300";"54,76";"executada";"entrada";"300";"54,66";"-";"-";"-"
